Epoch,Time(s),Loss,Precision
00001,2.6051,0.9226,0.0303
00002,2.4047,0.5645,0.0194
00003,2.3362,0.4473,0.0000
00004,2.3019,0.3560,0.0000
00005,2.2826,0.2811,0.0000
00006,2.2697,0.2155,0.0531
00007,2.2596,0.1818,0.0654
00008,2.2523,0.1767,0.1875
00009,2.2464,0.1574,0.1333
00010,2.2417,0.1654,0.0935
00011,2.2379,0.1689,0.1311
00012,2.2346,0.1721,0.1898
00013,2.2322,0.1815,0.1928
00014,2.2300,0.1792,0.1454
00015,2.2281,0.1736,0.1268
00016,2.2263,0.1716,0.0948
00017,2.2247,0.1672,0.0538
00018,2.2234,0.1604,0.0669
00019,2.2228,0.1560,0.0737
00020,2.2217,0.1544,0.0581
00021,2.2206,0.1497,0.1132
00022,2.2197,0.1451,0.1875
00023,2.2189,0.1433,0.2703
00024,2.2251,0.1419,0.2703
00025,2.2242,0.1400,0.2836
00026,2.2234,0.1387,0.3113
00027,2.2228,0.1388,0.4000
00028,2.2222,0.1395,0.4762
00029,2.2215,0.1395,0.5935
00030,2.2209,0.1391,0.7187
00031,2.2203,0.1387,0.7683
00032,2.2196,0.1386,0.8182
00033,2.2190,0.1383,0.8318
00034,2.2185,0.1375,0.8312
00035,2.2180,0.1364,0.8347
00036,2.2175,0.1353,0.8128
00037,2.2170,0.1344,0.8088
00038,2.2166,0.1337,0.8091
00039,2.2162,0.1330,0.8102
00040,2.2158,0.1323,0.8053
00041,2.2154,0.1316,0.8113
00042,2.2150,0.1312,0.8105
00043,2.2147,0.1308,0.8109
00044,2.2144,0.1305,0.7991
00045,2.2140,0.1302,0.7857
00046,2.2137,0.1299,0.7825
00047,2.2134,0.1295,0.7873
00048,2.2132,0.1290,0.7870
00049,2.2129,0.1286,0.7824
00050,2.2127,0.1280,0.7675
00051,2.2125,0.1275,0.7591
00052,2.2123,0.1271,0.7579
00053,2.2120,0.1266,0.7611
00054,2.2118,0.1262,0.7622
00055,2.2116,0.1258,0.7647
00056,2.2114,0.1254,0.7597
00057,2.2111,0.1251,0.7580
00058,2.2140,0.1247,0.7609
00059,2.2138,0.1244,0.7623
00060,2.2135,0.1241,0.7601
00061,2.2133,0.1238,0.7534
00062,2.2131,0.1234,0.7580
00063,2.2129,0.1231,0.7648
00064,2.2128,0.1228,0.7622
00065,2.2127,0.1225,0.7630
00066,2.2125,0.1222,0.7666
00067,2.2124,0.1219,0.7724
00068,2.2122,0.1217,0.7714
00069,2.2120,0.1214,0.7744
00070,2.2118,0.1211,0.7822
00071,2.2117,0.1208,0.7822
00072,2.2115,0.1205,0.7823
00073,2.2113,0.1203,0.7877
00074,2.2112,0.1200,0.7906
00075,2.2111,0.1198,0.7883
00076,2.2109,0.1195,0.7944
00077,2.2108,0.1193,0.7970
00078,2.2107,0.1191,0.7979
00079,2.2105,0.1188,0.8004
00080,2.2105,0.1186,0.8041
00081,2.2104,0.1184,0.8028
00082,2.2103,0.1181,0.8054
00083,2.2101,0.1179,0.8081
00084,2.2100,0.1177,0.8070
00085,2.2099,0.1175,0.8112
00086,2.2098,0.1173,0.8127
00087,2.2097,0.1171,0.8116
00088,2.2096,0.1169,0.8143
00089,2.2095,0.1167,0.8092
00090,2.2094,0.1165,0.8161
00091,2.2093,0.1162,0.8120
00092,2.2092,0.1160,0.8174
00093,2.2091,0.1158,0.8117
00094,2.2090,0.1156,0.8180
00095,2.2107,0.1154,0.8108
00096,2.2106,0.1152,0.8235
00097,2.2105,0.1150,0.8074
00098,2.2104,0.1148,0.8325
00099,2.2104,0.1146,0.7981
00100,2.2102,0.1145,0.8411
00101,2.2101,0.1143,0.8103
00102,2.2100,0.1139,0.8152
00103,2.2099,0.1137,0.8438
00104,2.2098,0.1136,0.8103
00105,2.2098,0.1133,0.8367
00106,2.2097,0.1130,0.8373
00107,2.2096,0.1128,0.8153
00108,2.2095,0.1126,0.8464
00109,2.2095,0.1124,0.8253
00110,2.2094,0.1121,0.8312
00111,2.2095,0.1118,0.8457
00112,2.2094,0.1116,0.8243
00113,2.2093,0.1114,0.8487
00114,2.2092,0.1111,0.8336
00115,2.2092,0.1108,0.8427
00116,2.2091,0.1105,0.8465
00117,2.2090,0.1103,0.8346
00118,2.2090,0.1100,0.8573
00119,2.2089,0.1098,0.8253
00120,2.2102,0.1096,0.8706
00121,2.2102,0.1095,0.8191
00122,2.2102,0.1092,0.8697
00123,2.2101,0.1089,0.8340
00124,2.2100,0.1084,0.8509
00125,2.2100,0.1081,0.8591
00126,2.2099,0.1078,0.8331
00127,2.2098,0.1077,0.8796
00128,2.2097,0.1078,0.8158
00129,2.2097,0.1075,0.8821
00130,2.2096,0.1073,0.8388
00131,2.2095,0.1066,0.8478
00132,2.2095,0.1063,0.8737
00133,2.2094,0.1063,0.8233
00134,2.2094,0.1062,0.8768
00135,2.2093,0.1059,0.8473
00136,2.2093,0.1054,0.8510
00137,2.2093,0.1052,0.8758
00138,2.2092,0.1051,0.8317
00139,2.2092,0.1050,0.8791
00140,2.2091,0.1048,0.8468
00141,2.2091,0.1044,0.8601
00142,2.2090,0.1041,0.8705
00143,2.2090,0.1040,0.8401
00144,2.2089,0.1040,0.8854
00145,2.2088,0.1039,0.8360
00146,2.2088,0.1037,0.8798
00147,2.2087,0.1035,0.8509
00148,2.2087,0.1032,0.8648
00149,2.2086,0.1030,0.8693
00150,2.2086,0.1028,0.8469
00151,2.2085,0.1028,0.8825
00152,2.2084,0.1027,0.8347
00153,2.2084,0.1026,0.8905
00154,2.2083,0.1026,0.8316
00155,2.2083,0.1025,0.8924
00156,2.2083,0.1024,0.8376
00157,2.2082,0.1020,0.8786
00158,2.2082,0.1018,0.8581
00159,2.2081,0.1015,0.8596
00160,2.2081,0.1014,0.8794
00161,2.2080,0.1013,0.8415
00162,2.2080,0.1013,0.8921
00163,2.2080,0.1013,0.8308
00164,2.2079,0.1012,0.8978
00165,2.2079,0.1013,0.8315
00166,2.2078,0.1010,0.8904
00167,2.2078,0.1007,0.8501
00168,2.2078,0.1004,0.8669
00169,2.2077,0.1002,0.8727
00170,2.2077,0.1001,0.8483
00171,2.2076,0.1001,0.8908
00172,2.2076,0.1001,0.8328
